household_id,avg_monthly_consumption,median_monthly_consumption,sd_monthly_consumption,n_months_recorded,n_valid_months,n_zero_months,household_size,average_age,median_age,youngest_age,oldest_age,average_hours_at_home,employed_members,male_members,female_members,head_gender,head_ethnicity,head_religion,head_marital_status,head_education,head_occupation,head_employment_status,total_appliances,total_weekly_hours,refrigerator,electric_iron_including_electric_steam_iron,microwave,electric_cook_tops_induction_cookers_infra_red_cookers_hot_plates,washing_machine,electric_water_heater_to_heat_water_for_drinking_purposes,electric_oven,air_fryer,electric_water_pump,geyser_hot_water_systems_for_bathrooms_which_operate_from_electricity,floor_area,no_of_electricity_meters,own_the_house_or_living_on_rent,type_of_house,socio_economic_class,total_monthly_expenditure_of_last_month,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,type_of_electricity_meter,missing_appliance_survey,consumption_outlier,usage_intensity_pc1
ID2065,84.68,82,9.06329594205846,25,25,0,4,21.75,21.5,6,38,132.5,1,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,"Legislator, senior official, and manager",Private sector employee,6,227.35,1,1,0,0,0,0,0,0,0,0,265,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,49500,Brick,Asbestos,Non smart meter,FALSE,FALSE,-0.9533125573647183
ID2066,82.16,82,5.857189314566046,25,25,0,4,29.25,30,15,42,92.75,3,1,3,Female,Sinhala,Other Christian denominations,Currently married (registered),Passed Grade 10,Elementary occupation,Private sector employee,10,182.25,1,1,0,0,1,0,0,0,0,0,360,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,80000,Wood / Takaran / Asbestos,Takaran,Smart meter,FALSE,FALSE,-0.5221041811418453
ID2067,114.48,117,12.413433583555088,25,25,0,4,32.5,31,15,53,133.75,2,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Employer,11,225,1,1,0,0,1,1,0,0,0,0,780,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,85000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,0.015118059892265223
ID2068,78.92,78,11.722201158485552,25,25,0,10,32.4,28.5,3,77,150.8,3,4,6,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Craft and related worker,Private sector employee,10,44,0,0,0,0,0,0,0,0,0,0,950,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,125000,Stones/Cube stones,Asbestos,Smart meter,FALSE,FALSE,-0.5241368833814668
ID2069,70.44,57,35.53763263546593,25,25,0,3,58.666666666666664,69,35,72,149.33333333333334,1,1,2,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed G.C.E.(O/L),NA,NA,5,81,1,0,0,0,0,0,0,0,0,0,1650,2,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,75000,Brick,Tile,Smart meter,FALSE,FALSE,-0.9469496407617768
ID2070,94.52,93,15.430273274745764,25,25,0,4,27.5,28.5,9,44,120,1,2,2,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed Grade 10,No occupation,Private sector employee,7,172,1,1,0,0,0,0,0,0,0,0,700,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,70000,Cement Block,Tile,Non smart meter,FALSE,FALSE,-0.7671168562392974
ID2071,125.16,138,29.38208070689798,25,25,0,5,33.2,38,8,69,55.2,1,2,3,Female,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Technician and associate professional,Private sector employee,4,49,1,1,0,0,0,0,0,0,0,0,500,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Single Floor,SEC D,40000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-2.061918324558456
ID2072,429.96,421,111.0324577169517,25,25,0,4,29,29.5,9,48,5,1,1,3,Male,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,Service worker and shop and market sales worker,Government employee,5,172.58,1,1,0,0,1,0,0,0,0,0,2000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,50000,Brick,Asbestos,Smart meter,FALSE,TRUE,-0.5783031647298792
ID2073,78.88,72,21.2609187634652,25,25,0,3,31.333333333333332,40,11,43,132,2,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 9,Technician and associate professional,Private sector employee,15,287.25,1,1,0,0,0,1,0,0,0,0,600,2,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,40000,Brick,Asbestos,Smart meter,FALSE,FALSE,0.08694339201068185
ID2074,33.76,35,10.917417276993676,25,25,1,3,47.666666666666664,39,36,68,86,2,2,1,Female,Sinhala,Buddhism,Never married,Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,11,213,1,1,0,0,1,0,0,0,0,0,850,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,60000,Cement Block,Concrete,Smart meter,FALSE,FALSE,-0.2898656128894894
ID2075,33.48,38,15.787970103848057,25,25,0,3,49.666666666666664,60,29,60,133,1,2,1,Male,Sinhala,Roman Catholicism,Currently married (customary),Passed G.C.E.(A/L) or equivalent,NA,NA,16,196.5,1,1,1,0,1,0,1,0,0,0,2500,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,50000,Brick,Concrete,Smart meter,FALSE,FALSE,0.5934436061493753
ID2076,187.12,190,62.39078457592916,25,25,0,4,35,35,2,68,139,0,2,2,Male,Sinhala,Roman Catholicism,Currently married (customary),Passed post Graduate Degree / Diploma,NA,NA,32,399.29,1,1,0,1,1,0,0,0,0,0,800,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,75000,Brick,Tile,Non smart meter,FALSE,FALSE,2.4347231092551564
ID2077,213.92,240,81.98217285890065,25,25,0,3,51.333333333333336,62,27,65,168,0,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,NA,NA,28,234.95,1,1,1,1,1,0,1,1,0,1,2700,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,100000,Brick,Asbestos,Smart meter,FALSE,FALSE,2.3319144660624467
ID2078,88.04,88,10.74507639184881,25,25,0,3,27.666666666666668,29,23,31,116.66666666666669,2,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,"Legislator, senior official, and manager",Private sector employee,16,194.58,1,1,0,0,1,0,1,0,0,0,900,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Single Floor,SEC A,100000,I am not aware of that,Asbestos,Non smart meter,FALSE,FALSE,0.44335619220994654
ID2080,193.04,179,59.586407846085166,25,25,0,6,55.166666666666664,60.5,15,75,130.66666666666666,2,2,4,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Semi government employee,24,241,1,1,1,1,1,0,1,0,0,1,2200,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,100000,Brick,Tile,Smart meter,FALSE,FALSE,1.8493715273943194
ID2081,105.4,90,49.13586605864736,25,25,0,6,45.833333333333336,44,15,76,128.5,1,4,2,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed Grade 10,Skilled agricultural and fishery worker,Private sector employee,11,111.71,1,1,0,0,1,0,1,0,0,0,1700,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,75000,Brick,Concrete,Smart meter,FALSE,FALSE,-0.3080457191368894
ID2082,172.88,174,25.005532721113273,25,25,0,5,39,37,2,62,162.4,2,1,4,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,21,255.66,1,1,0,0,1,0,0,0,0,0,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,90000,Cabook,Asbestos,Non smart meter,FALSE,FALSE,0.9121396633408827
ID2083,139.44,136,11.064507821558683,25,25,0,6,35.5,39,4,62,158,1,4,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,13,220.91,1,1,0,0,1,0,0,0,0,0,1100,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,75000,Brick,Asbestos,Smart meter,FALSE,FALSE,0.1722630371847939
ID2084,82.92,84,10.214042621149895,25,25,0,5,18.6,12,2,35,135.2,1,2,3,Male,Malay,Islam,Currently married (customary),Passed Grade 10,Craft and related worker,Own account worker,7,201.16,1,1,0,0,1,0,0,0,0,0,1497.37,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Single Floor,SEC C,50000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-0.488127373954702
ID2085,29.24,23,17.350024015353217,25,25,0,6,30.666666666666668,25,5,73,122.66666666666669,1,3,3,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed G.C.E.(O/L),No occupation,Private sector employee,4,1.25,1,1,0,0,1,0,0,0,0,0,800,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,20000,Cabook,Asbestos,Non smart meter,FALSE,FALSE,-2.4062928592693407
ID2087,53.04,36,52.77347818743805,25,25,1,2,74,74,60,88,168,0,1,1,Male,Sinhala,Buddhism,Currently married (customary),Passed G.C.E.(O/L),NA,NA,5,169.24,1,1,0,0,0,0,0,0,0,0,2000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,80000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-0.2715410076024904
ID2088,4,0,8.69386757049665,25,25,17,4,47,47,32,62,133,3,3,1,Male,Sinhala,Other Christian denominations,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Related to forces,Private sector employee,15,208.5,1,1,0,0,1,0,0,0,0,0,3000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,60000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,0.9031308522207335
ID2089,84.56,83,10.571502573743558,25,25,0,3,18.666666666666668,27,2,27,149.33333333333334,1,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Private sector employee,4,7,0,0,0,0,0,0,0,0,0,0,1200,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.8806511418199912
ID2090,97.25,128.5,64.70537623942631,25,8,2,7,26.142857142857142,27,2,48,144,3,4,3,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Private sector employee,18,116.5,1,1,0,0,0,1,1,0,0,0,2400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,100000,Brick,Asbestos,Smart meter,FALSE,FALSE,0.8147855992271671
ID2091,92.6,102,23.32023441849017,25,25,0,7,27.285714285714285,28,3,50,154.57142857142858,2,2,5,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 3,Service worker and shop and market sales worker,Own account worker,8,214.5,1,1,0,0,0,0,1,0,0,0,250,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,40000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-0.9802092187844395
ID2092,55.52,49,37.81767664289633,25,25,1,4,31,31.5,14,47,147,1,1,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Technician and associate professional,Private sector employee,11,212.75,1,1,0,0,1,0,0,0,0,0,2400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,75000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,0.5307181658131376
