household_id,avg_monthly_consumption,median_monthly_consumption,sd_monthly_consumption,n_months_recorded,n_valid_months,n_zero_months,household_size,average_age,median_age,youngest_age,oldest_age,average_hours_at_home,employed_members,male_members,female_members,head_gender,head_ethnicity,head_religion,head_marital_status,head_education,head_occupation,head_employment_status,total_appliances,total_weekly_hours,refrigerator,electric_iron_including_electric_steam_iron,microwave,electric_cook_tops_induction_cookers_infra_red_cookers_hot_plates,washing_machine,electric_water_heater_to_heat_water_for_drinking_purposes,electric_oven,air_fryer,electric_water_pump,geyser_hot_water_systems_for_bathrooms_which_operate_from_electricity,floor_area,no_of_electricity_meters,own_the_house_or_living_on_rent,type_of_house,socio_economic_class,total_monthly_expenditure_of_last_month,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,type_of_electricity_meter,missing_appliance_survey,consumption_outlier,usage_intensity_pc1
ID0001,91.36,94,25.13278071894685,25,25,1,4,49.75,49,30,71,139,2,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Related to forces,Government employee,8,98,1,1,0,0,0,0,0,0,0,0,1500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,35000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.126018351048352
ID0002,47.36,48,10.107258118138008,25,25,0,3,70,66,59,85,112,0,2,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 6,NA,NA,4,168,1,0,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,40000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.450429764808717
ID0003,188.52,202,26.924462235422023,25,25,0,4,42.5,42.5,11,74,117,0,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Government employee,19,226.51,1,1,1,1,1,0,0,0,0,0,2500,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,250000,Brick,Tile,Smart meter,FALSE,FALSE,3.1449840686197916
ID0004,236.24,228,57.053542104471184,25,25,0,4,35.5,33.5,4,71,114,1,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Elementary occupation,Employer,16,218,1,1,1,0,1,0,0,0,0,0,2600,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,100000,Cement Block,Concrete,Smart meter,FALSE,FALSE,1.2921599559177959
ID0005,94.04,94,7.441326046702518,25,25,0,2,67.5,67.5,57,78,126,1,1,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Professional,Own account worker,11,391.5,1,1,0,0,1,0,0,0,0,0,480,1,"Yes, I or a household member owns it.",Flat,SEC D,60000,I am not aware of that,Concrete,Smart meter,FALSE,FALSE,0.5082134494759691
ID0006,151.96,156,21.945918375254504,25,25,0,6,26.333333333333332,19.5,13,48,103.91666666666669,2,3,3,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Passed Grade 8,Service worker and shop and market sales worker,Private sector employee,10,243.15,1,1,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Flat,SEC E,100000,Cement Block,Concrete,Smart meter,FALSE,FALSE,0.054372604917021894
ID0007,82.72,84,6.535288822997803,25,25,0,4,21.5,21,6,38,113.5,2,3,1,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Passed G.C.E.(O/L),Craft and related worker,Own account worker,9,170.83,1,1,0,0,0,0,0,0,0,0,480,1,"Yes, I or a household member owns it.",Flat,SEC C,60000,Cement Block,Concrete,Smart meter,FALSE,FALSE,-0.8241373332818769
ID0008,65.16,68,12.320984809124091,25,25,0,5,36,25,19,60,90,1,1,4,Female,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,Professional,Government employee,17,215.75,1,1,0,0,0,0,0,0,0,0,1400,2,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,150000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,1.3860643745876364
ID0009,26.08,25,8.563099127457692,25,25,0,2,43.5,43.5,24,63,71,1,0,2,Female,Sinhala,Buddhism,Never married,Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,5,35.33,1,1,0,0,0,0,0,0,0,0,350,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,15000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-2.3939238549317166
ID0010,70.76,71,9.879608629225483,25,25,0,7,40.714285714285715,47,10,74,96.28571428571428,1,2,5,Female,Sinhala,Buddhism,Widowed,Passed Grade 7,No occupation,Own account worker,12,221.25,1,1,0,0,0,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,50000,Brick,Tile,Non smart meter,FALSE,FALSE,-0.2145451565555008
ID0011,84.88,85,8.001666493091715,25,25,0,5,21.8,15,5,45,17,1,4,1,Male,Sinhala,Buddhism,Currently married (registered),Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Clerk,Government employee,3,168.58,1,0,0,0,0,0,0,0,0,0,500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.389116821382102
ID0012,312.08,305,41.02633300698467,25,25,0,7,41.42857142857143,43,8,81,120,0,4,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Private sector employee,32,489.97,1,1,1,0,1,1,0,0,0,0,2900,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,200000,Cement Block,Asbestos,Smart meter,FALSE,TRUE,5.166470805599644
ID0013,153.08,157,18.777024968473217,25,25,0,1,75,75,75,75,168,0,1,0,Male,Sinhala,Buddhism,Widowed,Passed Degree / Diploma,NA,NA,10,185,1,1,0,0,1,0,0,0,0,0,2100,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,60000,Brick,Tent,Smart meter,FALSE,FALSE,0.016644797084980706
ID0014,135.2,132,14.145081595145832,25,25,0,4,36.75,37,16,57,124.5,2,3,1,Female,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Government employee,14,201.25,1,1,0,0,1,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.17053023344258583
ID0015,96.08,94,12.799479156069854,25,25,0,3,44.333333333333336,50,18,65,97.33333333333331,1,2,1,Male,Sinhala,Buddhism,Currently married (customary),Passed Grade 8,Professional,Own account worker,11,213.48,1,1,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Flat,SEC D,60000,Cement Block,Concrete,Non smart meter,FALSE,FALSE,-0.46177128819736796
ID0016,92.6,91,7.852812659593164,25,25,0,5,45,33,29,70,134.8,0,3,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 8,NA,NA,15,185.5,1,1,0,0,1,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,85000,Brick,Asbestos,Non smart meter,FALSE,FALSE,0.1994452920822994
ID0017,27.68,30,28.119862493736814,25,25,0,4,36.25,30,15,70,132,0,2,2,Male,Sinhala,Buddhism,Never married,Passed G.C.E.(O/L),NA,NA,7,77,0,0,0,0,0,0,0,0,0,0,800,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,35000,Brick,Tile,Non smart meter,FALSE,FALSE,-1.6118570361947544
ID0018,371.76,372,88.38517975316903,25,25,0,7,51,54,20,86,115.14285714285714,0,3,4,Male,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,"Legislator, senior official, and manager",Private sector employee,32,202.82,1,1,1,1,1,0,1,1,0,0,4000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,200000,Brick,Asbestos,Smart meter,FALSE,TRUE,4.097425962677265
ID0019,88.96,87,19.90494076018983,25,25,0,5,18.4,9,2,40,112.4,2,2,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Service worker and shop and market sales worker,Private sector employee,11,176.75,1,1,0,0,1,0,0,0,0,0,400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,80000,Brick,Asbestos,Smart meter,FALSE,FALSE,-0.4589857026316605
ID0020,64.16,60,13.539079239987728,25,25,0,3,48.666666666666664,61,22,63,138.66666666666666,1,2,1,Male,Sinhala,Buddhism,Never married,Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,10,178,1,1,0,0,0,0,0,0,0,0,3000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,30000,Other,Asbestos,Non smart meter,FALSE,FALSE,0.037525643044505674
ID0021,0.52,0,0.918331820930394,25,25,17,4,20.25,20,3,38,155,2,3,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Elementary occupation,Private sector employee,29,58.45,1,1,0,0,1,0,0,0,1,0,3600,2,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,50000,Brick,Asbestos,Non smart meter,FALSE,FALSE,1.3045520996345437
ID0022,94.36,94,15.085533909455553,25,25,0,4,24.5,23.5,5,46,125.5,2,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Government employee,17,213.8,1,1,0,0,1,0,1,0,0,1,150,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,80000,Brick,Asbestos,Smart meter,FALSE,FALSE,0.08619225080551544
ID0023,51.72,51,13.725037947731389,25,25,0,2,64.5,64.5,60,69,150,1,1,1,Female,Sinhala,Buddhism,Widowed,Passed G.C.E.(A/L) or equivalent,NA,NA,8,33.5,1,1,0,0,0,0,0,0,0,0,1400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,20000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.6761704294763153
ID0024,240.72,270,92.8751491699116,25,25,0,2,62,62,62,62,164,1,1,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Employer,21,198,1,1,1,0,1,0,1,0,0,0,2300,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,75000,Brick,Asbestos,Non smart meter,FALSE,FALSE,1.1645915071437067
ID0025,60.6,51,29.017236257093817,25,25,0,3,50.333333333333336,60,31,60,80,3,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Employer,10,190,1,1,0,0,1,0,0,0,0,0,1500,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,80000,Brick,Tile,Non smart meter,FALSE,FALSE,0.004508607095212211
ID0026,170.28,168,12.218565109428084,25,25,0,5,40.4,29,27,60,87,3,2,3,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,NA,NA,14,213,1,1,0,0,1,0,0,0,0,0,3000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,50000,Brick,Asbestos,Non smart meter,FALSE,FALSE,0.7434673584608384
ID0027,77.24,78,5.724799850940934,25,25,0,6,39.5,43,3,83,114.5,2,3,3,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Craft and related worker,Private sector employee,12,171,1,1,1,0,0,0,0,0,0,0,726,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,100000,Pressed soil blocks,Tile,Non smart meter,FALSE,FALSE,-0.059070709163089985
ID0028,76.24,80,20.308618859981593,25,25,0,4,17.5,17,2,34,133,1,1,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Skilled agricultural and fishery worker,Private sector employee,9,256.9,1,1,0,0,1,0,0,0,0,0,350,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Single Floor,SEC C,50000,I am not aware of that,Asbestos,Non smart meter,FALSE,FALSE,-0.5269293851318461
ID0029,98.04,97,14.125862805506785,25,25,0,3,41.333333333333336,50,19,55,162,1,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Private sector employee,16,188.7,1,1,0,0,1,0,0,0,0,0,1300,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,120000,Cement Block,Tile,Non smart meter,FALSE,FALSE,0.7985272399039263
ID0030,48.24,49,7.666376806114694,25,25,0,4,31,31.5,10,51,155.5,1,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Service worker and shop and market sales worker,Private sector employee,4,168.3,1,1,0,0,0,0,0,0,0,0,250,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,15000,Mud,Asbestos,Non smart meter,FALSE,FALSE,-1.8002128307778293
ID0032,41.64,38,17.57811138888362,25,25,0,4,43.25,43.5,27,59,164,1,3,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Professional,Own account worker,9,94,0,1,0,0,0,1,0,0,0,0,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,75000,Brick,Tile,Non smart meter,FALSE,FALSE,-1.0220309959213187
ID0033,77.92,79,12.602645224978232,25,25,0,4,35,35,15,55,111.5,1,1,3,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed Grade 9,Technician and associate professional,Private sector employee,5,207,1,1,0,0,0,0,0,0,0,0,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,40000,Brick,Concrete,Non smart meter,FALSE,FALSE,-1.0980314549952808
ID0034,483,505,69.00301925761413,25,25,0,8,40.75,35.5,14,89,143.5,1,6,2,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed Grade 8,Service worker and shop and market sales worker,Own account worker,10,250.36,1,0,0,0,1,1,0,0,0,0,1250,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,60000,Brick,Asbestos,Non smart meter,FALSE,TRUE,0.004808023897839908
ID0035,53.8,42,24.951619853895927,25,25,0,6,36.166666666666664,38,2,65,97.66666666666669,2,4,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Elementary occupation,Government employee,5,23,0,1,0,0,0,0,0,0,0,0,414,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,25000,Brick,Asbestos,Smart meter,FALSE,FALSE,-2.3244788380044117
ID0036,64.8,64,13.30413469565007,25,25,0,4,45,45.5,30,59,110.625,3,2,2,Male,Sinhala,Buddhism,Currently married (customary),Passed Grade 6,Professional,Private sector employee,12,192.83,1,1,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Flat,SEC E,60000,Cement Block,Concrete,Non smart meter,FALSE,FALSE,-0.4967745754056858
ID0037,44.28,46,12.228791164024894,25,25,0,1,88,88,88,88,168,0,0,1,Female,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,NA,NA,9,27.25,1,1,0,0,1,0,0,0,0,0,350,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,30000,Cabook,Tile,Non smart meter,FALSE,FALSE,-1.9727015638502854
ID0039,197.32,174,61.34989812542479,25,25,0,3,60.333333333333336,72,35,74,168,1,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,NA,NA,23,209.025,1,1,1,1,1,0,1,0,0,1,750,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,100000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,0.985620425476751
ID0040,77.92,80,28.609322489939068,25,25,0,4,33.75,36,14,49,27.75,2,3,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Private sector employee,11,35.46,1,1,0,0,1,0,0,0,0,0,300,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,50000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-1.5825248078002458
ID0041,89.04,89,22.354119679975472,25,25,0,2,39.5,39.5,22,57,87.5,0,0,2,Female,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,Craft and related worker,Private sector employee,31,201.05,1,1,0,1,1,0,1,1,1,0,1350,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,150000,Brick,Asbestos,Smart meter,FALSE,FALSE,2.3436375564561382
ID0042,91.72,98,19.034004658330137,25,25,0,2,39.5,39.5,15,64,138.5,1,1,1,Female,Sinhala,Buddhism,Widowed,Passed Grade 5,Professional,Private sector employee,11,35.75,1,1,0,0,1,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Flat,SEC E,12000,Cement Block,Concrete,Non smart meter,FALSE,FALSE,-1.9326081874286554
ID0043,394.5833333333333,349,156.86103422447212,25,24,0,3,39.333333333333336,29,27,62,158,3,3,0,Male,Sinhala,Buddhism,Never married,Passed Degree / Diploma,Technician and associate professional,Private sector employee,30,291.565,1,1,1,0,1,0,0,0,1,0,800,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,45000,Brick,Asbestos,Smart meter,FALSE,TRUE,1.3823391006716317
ID0044,29.96,30,5.733527128507664,25,25,0,1,72,72,72,72,168,1,1,0,Male,Sinhala,Buddhism,Separated (not legally),Passed Grade 3,Elementary occupation,Private sector employee,4,0.1,1,0,0,0,0,1,0,0,0,0,180,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,12000,Cabook,Takaran,Non smart meter,FALSE,FALSE,-2.762860545483541
ID0045,99.68,94,20.297208346633944,25,25,0,3,43,52,17,60,109.5,2,2,1,Female,Sinhala,Buddhism,Currently married (customary),No Schooling,Professional,Private sector employee,16,182.25,1,1,1,0,1,1,0,0,0,0,450,1,"Yes, I or a household member owns it.",Flat,SEC E,25000,Cement Block,Concrete,Non smart meter,FALSE,FALSE,-0.6257489045528695
ID0046,129.52,127,14.315259923126323,25,25,0,4,27,33.5,3,38,107,0,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Service worker and shop and market sales worker,Private sector employee,16,203.76,1,1,0,0,1,0,1,0,0,0,2000,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - More than 2 floors,SEC C,70000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,0.6359603922157251
ID0047,39.875,45,16.154941747253154,25,8,1,3,36.666666666666664,47,13,50,98,2,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 9,Skilled agricultural and fishery worker,Private sector employee,3,4,0,1,0,0,0,1,0,0,0,0,2400,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,50000,Brick,Tile,Smart meter,FALSE,FALSE,-1.461590143326765
ID0048,60.88,62,11.630849782654176,25,25,0,5,59.4,54,35,82,128.4,1,2,3,Male,Sinhala,Buddhism,Never married,Passed G.C.E.(O/L),NA,NA,14,215,1,1,0,0,1,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,30000,Cabook,Tile,Non smart meter,FALSE,FALSE,-0.31335252959329307
ID0049,193.8,193,25.058265436112425,25,25,0,8,27.25,30,1,69,101.0625,2,3,5,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed Grade 5,NA,NA,11,176.4,1,1,0,0,1,0,0,0,0,0,350,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,65000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-0.6444575477586864
ID0051,48.32,47,20.011913118606795,25,25,0,1,70,70,70,70,80,1,0,1,Female,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Own account worker,3,28.33,0,0,0,0,0,0,0,0,0,0,2400,1,"No, I am living on rent and the rent is paid by me or a household member.",Single House - Single Floor,SEC B,50000,Cement Block,Tile,Non smart meter,FALSE,FALSE,-1.3313486862894892
ID0052,159.64,159,18.964616175042053,25,25,0,4,29,30.5,10,45,78.75,2,3,1,Male,Sinhala,Roman Catholicism,Currently married (registered),Passed Grade 10,Technician and associate professional,Employer,5,173.99,1,0,0,0,0,0,0,0,0,0,1100,2,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,100000,Brick,Asbestos,Smart meter,FALSE,FALSE,-0.4126802394287845
ID0053,71.24,79,21.190170677305392,25,25,0,5,43.2,31,28,65,132.2,3,3,2,Male,Sinhala,Other Christian denominations,Currently married (registered),Passed Grade 7,Craft and related worker,Private sector employee,9,191.75,1,1,0,0,0,0,0,0,0,0,140,1,"Yes, I or a household member owns it.",Attached house / Annex,SEC D,45000,Brick,Asbestos,Smart meter,FALSE,FALSE,-1.019157543841964
ID0054,132.12,125,38.54793552621637,25,25,0,5,47.2,31,26,77,103.2,3,1,4,Male,Sinhala,Buddhism,Widowed,Passed Degree / Diploma,NA,NA,13,184,1,0,0,0,1,0,0,0,0,0,2600,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,60000,Brick,Asbestos,Non smart meter,FALSE,FALSE,0.45068232054541685
ID0055,87.64,87,16.293863875704865,25,25,0,3,31.666666666666668,41,9,45,117.53333333333332,1,2,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 8,No occupation,Own account worker,10,193.67,1,1,0,0,0,0,0,0,0,0,400,1,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",Single House - Single Floor,SEC C,40000,Cement Block,Concrete,Smart meter,FALSE,FALSE,-0.8768050062152675
ID0056,120.48,65,112.62516000728552,25,25,1,1,27,27,27,27,2,0,0,1,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed G.C.E.(A/L) or equivalent,NA,NA,7,5.8,1,0,0,0,1,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,50000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.7455686858973793
ID0057,120.44,121,8.808518604169489,25,25,0,5,51.2,57,23,85,133.8,0,3,2,Male,Sinhala,Buddhism,Currently married (customary),Passed G.C.E.(A/L) or equivalent,NA,NA,14,199.75,1,1,0,0,0,0,1,0,0,0,1600,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,50000,Brick,Concrete,Non smart meter,FALSE,FALSE,0.0767696063309769
ID0058,34.16,33,7.19768481295664,25,25,0,1,52,52,52,52,21,1,0,1,Female,Sinhala,Buddhism,Never married,Passed Degree / Diploma,Clerk,Private sector employee,7,190,1,1,0,0,0,0,0,0,0,0,250,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,35000,I am not aware of that,Asbestos,Non smart meter,FALSE,FALSE,-1.2410063183469933
ID0059,89.2,89,10.661457061146317,25,25,0,2,78,78,77,79,168,0,1,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,NA,NA,13,221.85,1,1,0,0,1,0,0,0,0,0,2800,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,80000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,0.9548355502023164
ID0060,93.2,92,25.11805459558257,25,25,0,5,30.2,24,2,54,103.6,3,2,3,Female,Sinhala,Buddhism,Widowed,Passed Grade 10,Craft and related worker,Private sector employee,10,67.33,1,1,0,0,0,0,1,0,0,0,720,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.3087288264270729
ID0061,83,82,14.38749456993816,25,25,0,3,41.666666666666664,52,19,54,129.83333333333334,2,2,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Clerk,Semi government employee,14,136.5,1,1,0,0,1,1,0,0,0,0,450,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,30000,Cement Block,Tile,Non smart meter,FALSE,FALSE,-0.9676246651215417
ID0062,81.28,80,10.83789647487002,25,25,0,3,47.666666666666664,56,28,59,112,2,2,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 2,Technician and associate professional,Private sector employee,13,108.75,1,1,0,0,1,0,0,0,0,0,250,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,20000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,-1.3850361826600794
ID0063,125.24,134,19.03566827475901,25,25,0,5,19.6,10,0,42,168,1,3,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,"Legislator, senior official, and manager",Private sector employee,7,175.5,1,1,0,0,0,0,0,0,0,1,1500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,100000,Brick,Tile,Smart meter,FALSE,FALSE,-0.08329998137808642
ID0064,95.4,96,12.479983974348684,25,25,0,4,33.75,34.5,17,49,111.25,2,2,2,Male,Sinhala,Other Christian denominations,Currently married (registered),Passed G.C.E.(O/L),Technician and associate professional,Private sector employee,24,226.35,1,1,0,0,1,1,1,0,1,0,2000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,150000,Brick,Tile,Smart meter,FALSE,FALSE,2.2269077573303986
ID0065,92.68,79,37.17270504012319,25,25,0,2,69.5,69.5,68,71,168,1,1,1,Male,Sinhala,Buddhism,Currently married (customary),Passed Grade 10,Service worker and shop and market sales worker,Own account worker,8,16.65,0,1,0,0,0,0,0,0,1,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,30000,Brick,Tile,Non smart meter,FALSE,FALSE,-1.8283763546484455
ID0066,450.92,501,202.35939974873088,25,25,3,5,60.6,59,28,98,130.6,1,1,4,Male,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,Professional,Own account worker,38,210.54,1,1,1,1,1,0,0,0,1,1,1500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,47500,Brick,Other,Smart meter,FALSE,TRUE,1.8778497516426402
ID0067,155.48,156,18.35783211602067,25,25,0,3,73,70,67,82,168,0,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,NA,NA,11,168.05,1,1,0,0,0,0,0,0,0,0,800,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,60000,Brick,Asbestos,Smart meter,FALSE,FALSE,-0.5517659047553383
ID0068,170.6,173,22.098265391956296,25,25,0,7,36.42857142857143,38,4,70,125.28571428571428,2,5,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Service worker and shop and market sales worker,Private sector employee,25,360,1,1,0,0,1,0,0,0,0,0,2800,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,100000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,2.8172612431659547
ID0069,321,300,57.92955492089797,25,25,0,4,54.75,54.5,30,80,165.25,1,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),NA,NA,10,193.86,1,0,0,0,0,0,0,0,0,0,400,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,25000,Cement Block,Tile,Non smart meter,FALSE,TRUE,-1.0381087052645832
ID0070,85,81,15.911211979816832,25,25,0,8,29.875,30,0,70,121,2,2,6,Female,Sinhala,Buddhism,Widowed,Passed Grade 10,NA,NA,12,220.5,1,1,0,0,1,0,0,0,0,0,1500,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,45000,Cement Block,Tile,Non smart meter,FALSE,FALSE,-0.05989232650924872
ID0071,156.64,175,72.72658844375052,25,25,0,3,52.666666666666664,61,31,66,94,0,2,1,Female,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,NA,NA,11,188.16,1,0,0,0,1,0,0,0,0,0,450,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,100000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.16020139800054156
ID0072,204.64,178,79.04580950309763,25,25,0,7,23.714285714285715,5,3,65,168,0,3,4,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),NA,NA,15,195.43,1,1,0,0,1,0,0,0,0,0,762,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,90000,Cement Block,Asbestos,Non smart meter,FALSE,FALSE,0.20542801311290385
