.y.,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
avg_monthly_consumption,SEC E,SEC D,15.670047561868955,3.8540675267327504,27.48602759700516,0.0028661157015581473,**
avg_monthly_consumption,SEC E,SEC C,34.12401266929807,22.235631343643313,46.012393994952824,4.356417449002947e-10,****
avg_monthly_consumption,SEC E,SEC B,52.908326494791126,39.66907806484078,66.14757492474146,0,****
avg_monthly_consumption,SEC E,SEC A,108.28101866546687,89.22476737982245,127.3372699511113,0,****
avg_monthly_consumption,SEC D,SEC C,18.453965107429113,8.71621887997782,28.191711334880406,2.5168837288758183e-6,****
avg_monthly_consumption,SEC D,SEC B,37.23827893292217,25.88278084267985,48.59377702316449,0,****
avg_monthly_consumption,SEC D,SEC A,92.61097110359792,74.80070231459483,110.42123989260101,1.9306778398231472e-13,****
avg_monthly_consumption,SEC C,SEC B,18.784313825493058,7.353276474467943,30.215351176518173,7.517132019074779e-5,****
avg_monthly_consumption,SEC C,SEC A,74.1570059961688,56.297754544311985,92.01625744802563,4.338751580235112e-13,****
avg_monthly_consumption,SEC B,SEC A,55.37269217067575,36.58697053909335,74.15841380225814,0,****
