.y.,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
avg_monthly_consumption,No schooling,Primary (Grade 1-9),-14.168765853639215,-55.68846486183012,27.35093315455169,0.9354323273683706,ns
avg_monthly_consumption,No schooling,Secondary (Grade 10-12),6.391466298569782,-35.53915702338362,48.32208962052319,0.9990646077434979,ns
avg_monthly_consumption,No schooling,O/Level,13.954727972506134,-27.95700653116154,55.86646247617381,0.9430931960006792,ns
avg_monthly_consumption,No schooling,A/Level,31.9900861334564,-10.398414520035807,74.3785867869486,0.2517980148864155,ns
avg_monthly_consumption,No schooling,Degree/Diploma,82.52296892633217,35.29179754063162,129.75414031203272,2.5494954263627356e-5,****
avg_monthly_consumption,No schooling,Postgraduate/PhD,97.53164162226551,42.44859582181825,152.61468742271276,1.121458487562954e-5,****
avg_monthly_consumption,Primary (Grade 1-9),Secondary (Grade 10-12),20.560232152208997,9.050976614552923,32.06948768986507,3.1384707820381053e-6,****
avg_monthly_consumption,Primary (Grade 1-9),O/Level,28.12349382614535,16.690278667241124,39.556708985049575,1.2068235299977914e-11,****
avg_monthly_consumption,Primary (Grade 1-9),A/Level,46.158851987095616,32.88060288024475,59.43710109394648,0,****
avg_monthly_consumption,Primary (Grade 1-9),Degree/Diploma,96.69173477997138,71.14094128277,122.24252827717277,2.6421709264923265e-10,****
avg_monthly_consumption,Primary (Grade 1-9),Postgraduate/PhD,111.70040747590473,72.86086638528292,150.53994856652653,3.1230573682705653e-13,****
avg_monthly_consumption,Secondary (Grade 10-12),O/Level,7.563261673936353,-5.46654692004501,20.593070267917717,0.6071931437189981,ns
avg_monthly_consumption,Secondary (Grade 10-12),A/Level,25.59861983488662,10.924475762506622,40.272763907266615,6.075442349429139e-6,****
avg_monthly_consumption,Secondary (Grade 10-12),Degree/Diploma,76.13150262776239,49.83269163292859,102.43031362259619,5.014850756879241e-10,****
avg_monthly_consumption,Secondary (Grade 10-12),Postgraduate/PhD,91.14017532369573,51.81426937841111,130.46608126898036,2.0694805868970434e-9,****
avg_monthly_consumption,O/Level,A/Level,18.035358160950267,3.4214857483896193,32.64923057351091,0.005164386362659479,**
avg_monthly_consumption,O/Level,Degree/Diploma,68.56824095382603,42.30329102768785,94.83319087996422,5.067686270621152e-10,****
avg_monthly_consumption,O/Level,Postgraduate/PhD,83.57691364975938,44.27327773589927,122.88054956361948,4.347279525251935e-8,****
avg_monthly_consumption,A/Level,Degree/Diploma,50.53288279287577,23.421917807896417,77.64384777785511,1.062432377851863e-6,****
avg_monthly_consumption,A/Level,Postgraduate/PhD,65.54155548880911,25.67871609842699,105.40439487919123,4.369400375847654e-5,****
avg_monthly_consumption,Degree/Diploma,Postgraduate/PhD,15.008672695933342,-30.310586272770763,60.32793166463745,0.9572251891768584,ns
