head_education,mean,median,sd,n
Postgraduate/PhD,198.84137135199524,152.82,154.5765579563464,146
Degree/Diploma,183.8326986560619,144.07999999999998,177.20256038168884,454
A/Level,133.29981586318613,106.56,107.32086079647628,775
O/Level,115.26445770223586,94.8,88.96522829539367,821
Secondary (Grade 10-12),107.7011960282995,90.75999999999999,102.7468289578823,1072
No schooling,101.30972972972972,83.96,79.96883109779176,37
Primary (Grade 1-9),87.14096387609051,78.75999999999999,60.87535077532518,692
