socio_economic_class,mean,median,sd,n
SEC E,75.44947622679233,67.4,55.76912567883493,251
SEC D,91.11952378866128,81.12,64.17564918511621,660
SEC C,109.5734888960904,92.1,97.58760682719891,1470
SEC B,128.35780272158345,104.32,96.95802433624388,851
SEC A,183.7304948922592,142.2,166.49839456981445,765
