Model,Test_rows,RMSE,MAE,Test_R_squared,Training_R_squared,Adjusted_R_squared_training
Model 4: Expanded Log MLR,24196,113.29950076686411,61.99559398649538,0.27228584772616266,0.20288761969082944,0.2020042832851312
Model 5: Selected Log MLR,24196,113.29950076686411,61.99559398649538,0.27228584772616266,0.20288761969082944,0.2020042832851312
Model 2: Expanded MLR,24196,113.85563631009963,62.011876173363554,0.26891456922627166,0.24211499295240574,0.24127512716359645
Model 3: Selected MLR,24196,113.85748377681267,62.00772176929268,0.2688875370285341,0.24210669391058226,0.2412964932600551
Model 1: Baseline — Household Size,24196,131.13130811907524,72.42002623945358,0.02926661748676569,0.02490266571099051,0.024889966981592515
